Revenue Month,Base Asset,Order Amount,Order Price,Total
2025-07,ADA,,,82.877
2025-07,ALGO,,,5.123
2025-07,BCH,,,5.227
2025-07,BNB,,,-140
2025-07,ETH,,,235.624
2025-07,FLOKI,,,3.821
2025-07,INJ,,,1.778
2025-07,LUMIA,,,6.496
2025-07,S,,,5.119
2025-07,SEI,,,6.804
2025-07,SOL,,,331.599
2025-07,SUI,,,12.582
2025-07,TIA,,,42.532
2025-07,XRP,60809,3.30947217,201245.6927
2025-07,ETH,43.1217,4190.408633,180697.5439
2025-07,MANA,3862,0.29650089,1145.0864
2025-07,WIF,1334,0.926,1235.284
2025-07,SNX,392,0.661,259.112
2025-07,BTTC,550000000,0.00000068,374
2025-07,ETC,18.95,22.75,431.1125
2025-07,FLOKI,4188888,0.00011041,462.4791547
2025-07,GALA,43055,0.01719,740.11545
2025-07,UNI,80,11.28,902.4
2025-07,YFI,0.2,5706,1141.2
2025-07,CRV,2498.2,0.942,2353.3044
2025-07,RENDER,530.45,3.853,2043.82385
2025-07,ONDO,3602,1.01336054,3650.12465
2025-07,BONK,161777777,0.00002469,3994.293314
2025-07,LTC,34.45,121.06,4170.517
2025-07,SHIB,490833333,0.00001313,6444.641662
2025-07,XLM,21055,0.44,9264.2
2025-07,LINK,510,22.29,11367.9
2025-07,PEPE,1175416666,0.00001167,13717.11249
2025-07,ADA,25834,0.792,20460.528
2025-07,AVAX,401.99,25.01,10053.7699
2025-07,DOT,,Filled,
2025-07,DOT,,Filled,
2025-08,TRUMP,75.504,8.4,634.2336
2025-08,FLOKI,34444444,0.00009194,3166.638462
2025-08,ALGO,28416,0.23353976,6636.2658
2025-08,BCH,12.05,597.7,7202.285
2025-08,S,36166.7,0.3094,11189.97698
2025-08,SEI,46500,0.2897,13471.05
2025-08,SUI,4855,3.3566,16296.293
2025-08,INJ,1354,13.28,17981.12
2025-08,TIA,17298,1.625,28109.25
2025-08,ADA,122578.8,0.834,102230.7192
2025-08,ETH,57.55,4422,254486.1
2025-08,SOL,2573.8,210.55,541913.59
2025-08,AVAX,149.88,24.36,3651.0768
2025-08,LINK,89.5,22.16,1983.32
2025-08,XLM,7160,0.3582,2564.712
2025-08,AVAX,429.12,24.37,10457.6544
2025-08,XRP,19913,2.8098,55951.5474
2025-08,ETH,58.27,4290.98,250035.4046
2025-08,BTC,6.12183,110659.75,677440.1773
2025-08,TAO,22,337.9,7433.8
2025-08,BTTC,96875000,0.00000063,61.03125
2025-08,MANA,1138,0.32763164,372.8448
2025-08,ETC,19.5,20.71,403.845
2025-08,GALA,43055,0.01659,714.28245
2025-08,FLOKI,8115972,0.00009454,767.2839929
2025-08,YFI,0.2,5288,1057.6
2025-08,RENDER,530,3.626,1921.78
2025-08,WIF,2583,0.845,2182.635
2025-08,SHIB,245416666,0.0000127,3116.791658
2025-08,LTC,35.549,113.36,4029.83464
2025-08,BONK,313444444,0.0000221,6927.122212
2025-08,ONDO,7900,0.931,7354.9
2025-08,PEPE,1175416666,0.00001009,11859.95416
2025-08,XLM,40777,0.3705,15107.8785
2025-08,LINK,817,23.05,18831.85
2025-08,ADA,26253,0.8525,22380.6825
2025-09,BNB,37.549,1295.333798,48638.48879
2025-09,TRUMP,426.288,7.84,3342.09792
2025-09,BCH,8.63,592.1434299,5110.1978
2025-09,SNX,258,1.209,311.922
2025-09,MORPHO,170,1.902,323.34
2025-09,UNI,55.44,8.10615657,449.40532
2025-09,MANA,1535,0.33712913,517.4932
2025-09,GALA,34019,0.01616,549.74704
2025-09,WIF,1086,0.784,851.424
2025-09,CRV,1205,0.76934405,927.05957
2025-09,RENDER,372,3.52,1309.44
2025-09,SHIB,117843835,0.00001269,1495.438266
2025-09,LTC,16.77,118.14,1981.2078
2025-09,FLOKI,33333333,0.00010383,3460.999965
2025-09,NEAR,1200,3.011,3613.2
2025-09,ALGO,20972,0.2262,4743.8664
2025-09,TRUMP,265.712,7.87,2091.15344
2025-09,TAO,18.45,345.8,6380.01
2025-09,PEPE,758255277,0.00000994,7537.057453
2025-09,S,28541,0.3032,8653.6312
2025-09,AVAX,326,29.95,9763.7
2025-09,LINK,455,22.8,10374
2025-09,INJ,826,12.87,10630.62
2025-09,SUI,3388,3.5922,12170.3736
2025-09,SEI,42309,0.2985,12629.2365
2025-09,XLM,44018,0.4001,17611.6018
2025-09,DOT,4857,4.315,20957.955
2025-09,TIA,15637,1.522,23799.514
2025-09,ADA,64939,0.8564,55613.7596
2025-09,XRP,31280,2.9779,93148.712
2025-09,ETH,83.85,4693.56,393555.006
2025-09,SOL,2302,230.83,531370.66
2025-09,BTC,5.31861,124287.6,661037.2722
2025-09,BNB,-3.876,1291.83,5007.13308
2025-09,BTC,0.1,124274.91,12427.491
